x,exact,approx
0.276123,0.926207,0.926207
0.276855,0.92582,0.92582
0.277588,0.925432,0.925432
0.27832,0.925043,0.925043
0.279053,0.924653,0.924653
0.279785,0.924262,0.924262
0.280518,0.92387,0.92387
0.28125,0.923477,0.923477
0.281982,0.923083,0.923083
0.282715,0.922688,0.922688
0.283447,0.922292,0.922292
0.28418,0.921896,0.921896
0.284912,0.921498,0.921498
0.285645,0.921099,0.921099
0.286377,0.920699,0.920699
0.287109,0.920299,0.920299
0.287842,0.919897,0.919897
0.288574,0.919494,0.919494
0.289307,0.919091,0.919091
0.290039,0.918686,0.918686
0.290771,0.918281,0.918281
0.291504,0.917874,0.917874
0.292236,0.917467,0.917467
0.292969,0.917059,0.917059
0.293701,0.916649,0.916649
0.294434,0.916239,0.916239
0.295166,0.915828,0.915828
0.295898,0.915415,0.915415
0.296631,0.915002,0.915002
0.297363,0.914588,0.914588
0.298096,0.914173,0.914173
0.298828,0.913757,0.913757
0.299561,0.91334,0.91334
0.300293,0.912922,0.912922
0.301025,0.912503,0.912503
0.301758,0.912083,0.912083
0.30249,0.911662,0.911662
0.303223,0.91124,0.91124
0.303955,0.910817,0.910817
0.304688,0.910393,0.910393
0.30542,0.909969,0.909969
0.306152,0.909543,0.909543
0.306885,0.909116,0.909116
0.307617,0.908689,0.908689
0.30835,0.90826,0.90826
0.309082,0.907831,0.907831
0.309814,0.9074,0.9074
0.310547,0.906969,0.906969
0.311279,0.906536,0.906536
0.312012,0.906103,0.906103
0.312744,0.905669,0.905669
0.313477,0.905234,0.905234
0.314209,0.904797,0.904797
0.314941,0.90436,0.90436
0.315674,0.903922,0.903922
0.316406,0.903483,0.903483
0.317139,0.903043,0.903043
0.317871,0.902602,0.902602
0.318604,0.90216,0.90216
0.319336,0.901718,0.901718
0.320068,0.901274,0.901274
0.320801,0.900829,0.900829
0.321533,0.900383,0.900383
0.322266,0.899937,0.899937
0.322998,0.899489,0.899489
0.32373,0.899041,0.899041
0.324463,0.898591,0.898591
0.325195,0.898141,0.898141
0.325928,0.897689,0.897689
0.32666,0.897237,0.897237
0.327393,0.896784,0.896784
0.328125,0.89633,0.89633
0.328857,0.895875,0.895875
0.32959,0.895419,0.895419
0.330322,0.894962,0.894962
0.331055,0.894504,0.894504
0.331787,0.894045,0.894045
0.33252,0.893585,0.893585
0.333252,0.893124,0.893124
0.333984,0.892663,0.892663
0.334717,0.8922,0.8922
0.335449,0.891736,0.891736
0.336182,0.891272,0.891272
0.336914,0.890806,0.890806
0.337646,0.89034,0.89034
0.338379,0.889873,0.889873
0.339111,0.889404,0.889404
0.339844,0.888935,0.888935
0.340576,0.888465,0.888465
0.341309,0.887994,0.887994
0.342041,0.887522,0.887522
0.342773,0.887049,0.887049
0.343506,0.886575,0.886575
0.344238,0.8861,0.8861
0.344971,0.885625,0.885625
0.345703,0.885148,0.885148
0.346436,0.88467,0.88467
0.347168,0.884192,0.884192
0.3479,0.883712,0.883712
0.348633,0.883232,0.883232
0.349365,0.882751,0.882751
0.350098,0.882269,0.882269
0.35083,0.881785,0.881785
0.351562,0.881301,0.881301
0.352295,0.880816,0.880816
0.353027,0.88033,0.88033
0.35376,0.879843,0.879843
0.354492,0.879356,0.879356
0.355225,0.878867,0.878867
0.355957,0.878377,0.878377
0.356689,0.877887,0.877887
0.357422,0.877395,0.877395
0.358154,0.876903,0.876903
0.358887,0.876409,0.876409
0.359619,0.875915,0.875915
0.360352,0.87542,0.87542
0.361084,0.874924,0.874924
0.361816,0.874427,0.874427
0.362549,0.873929,0.873929
0.363281,0.87343,0.87343
0.364014,0.87293,0.87293
0.364746,0.87243,0.87243
0.365479,0.871928,0.871928
0.366211,0.871426,0.871426
0.366943,0.870922,0.870922
0.367676,0.870418,0.870418
0.368408,0.869912,0.869912
0.369141,0.869406,0.869406
0.369873,0.868899,0.868899
0.370605,0.868391,0.868391
0.371338,0.867882,0.867882
0.37207,0.867372,0.867372
0.372803,0.866862,0.866862
0.373535,0.86635,0.86635
0.374268,0.865837,0.865837
0.375,0.865324,0.865324
0.375732,0.86481,0.86481
0.376465,0.864294,0.864294
0.377197,0.863778,0.863778
0.37793,0.863261,0.863261
0.378662,0.862743,0.862743
0.379395,0.862224,0.862224
0.380127,0.861704,0.861704
0.380859,0.861183,0.861183
0.381592,0.860662,0.860662
0.382324,0.860139,0.860139
0.383057,0.859616,0.859616
0.383789,0.859091,0.859091
0.384521,0.858566,0.858566
0.385254,0.85804,0.85804
0.385986,0.857513,0.857513
